Nama Akun,Komentar,Sumber
@TeguhSukamtoSPdSMASA,"Banyak buzzer dihadiahi komisaris BUMN , apa korelasinya ? , hanya akan membuat BUMN terbebani  bahkan bisa bangkrut.",Kompas
@petir2008,"Sekarang saya hanya membaca Tempo.
Hanya Tempo yang masih menyuarakan kebenaran dan aspirasi rakyat.
Semua media lain sudah dikuasai rezim penguasa",Kompas
@mustaantaan2307,tempo gk ikut ya?,Kompas
@andisutiandi-js3mm,Forum kaya gini dibawah setting dan komando nya hasan hasbi .... tempo diundangpun yakin ogah datang 😂😂,Kompas
@mayorugi,"Harusnya yang diundang itu Jurnalis2 kayak TEMPO, METRO TV, MAHASISWA.....😅😅😅",Kompas
@ronaldjacob2527,KOG SAYA TIDAK INTERS JAWABANNYA PRESIDEN!!! WARNING!!!!! ADA APA DENGAN BAPAK PRESIDEN SEPERTI ADA YANG DI TUTUPI. SEPERTINYA ADA KETAKUTAN DAN ADA JUGA OTORITER🤔🤔🤔,Kompas
@aguspurnomo7,"Rakyat dah tau kalo Ri1 t orang pintar...kami gx butuh jawaban dan pertanyaan....bosen dah bnyk acara kuis....
Data dan kenyataanlah yg kami butuhkan....",Kompas
@waksuck3373,Luar biasaaa.. jaman bapak jokowi perna begini ga sii??,Kompas
@netizenpusing,Ngarep sm presiden ini biar indonesia maju? Woiii..!!! Gelap!!,Kompas
@arsip_ihsankl,jadi intisari dari semua ini adalah? nothing.,Kompas
@ZahiranKeysha,"Pak prabowo ini gimana ya,dari pada bikin sekolah rakyat mending di bikin gratis saja semua sekolah negeri dari SD sampai SMA...
Juga daripada bikin sekolah rakyat itu banyak pondok2 pesantren yg perlu biaya pendidikan 😅",Kompas
@mupindonesian2929,President pea,Kompas
@irfantaz76,"SETUJU PAK PRESIDEN.... PEMERINTAH MAU KERJA UTK RAKYAT.... DAN GW SBG RAKYAT, IYA KOQ... PEMERINTAH KERJA DAN KLO ADA KURANG2 DAN SALAH,,, WAJARLAH... MEREKA KAN MANUSIA JUGA... SY KIRA, MEDIA YG TERLALU ""LEBAY"" DAM AGAK KURANG FAIR DALAM MEMBERITAKAN BERITA, SELALU YG HEBOH2... ITU SIY DARI JAMAN DULU YA... MANGKANYA MASIH MENDING SEJAK REFORMASI DI KASIH KEBEBASAN TAPI HARUS FAIR JUGA....

PAK PRESIDEN,,,, SEMUA ORANG ITU PADA PARNO PAK.... TAKUTNYA KAYA ORBA... TAPI BAPAK EMANG KEREN!!!!!! HAHAHAHA.... PAK PRABOWO THE BEST!!!!!",Kompas
@renar2759,Langsung nyindir anis,Kompas
@aisyahhasna282,Hidup ijasah palsu,Kompas
@2010_oshmkufa,Saya benar benar berharap prabowo menyelesaikan kekonyolan jokowi ketimbang belajar darinya,Kompas
@ferydharianja902,"Hebat pak prabowo mau diskusi dengan pemred... semua pertanyaan masyarakat diwakili pemred... saya belum puas jawabannya tapi sudah mau terbuka diskusi sudah hebat sekali... baru ini presiden mau diskusi terbuka...
Next rocky gerung, refly harun dll... semoga indonesia cerah",Kompas
@gusnadiwira6816,Lebih baik TNI dari polisi TNI selalu di hati rakyat ketimbang polisi hama bagi masyarakat Indonesia,Kompas
@2.irsaddulfikri365,Inflasi Kecil!!!?,Kompas
@rusfandi5213,"Reformasi selalu diagung agungkan, padahal gagal total dan hanya membuat negara ini carut marut yang sebentar lagi menuju kemiskinan. Korupsi merajalela dari atas sampai level bawah, gimana nggak hancur negara ini. Kesuksesan reformasi cuma bisa menciptakan dan mewujudkan pesta demokrasi dengan biaya sangat menguras keuangan negara, melupakan rakyat yang sedang sekarat...! 
Suara hat dan doai rakyat jelata untuk bapak presiden Prabowo : semoga bapak Prabowo selalu diberikan kesehatan dan sukses memimpin negara tercinta ini...! Amin allahumma amin...!",Kompas
@tonibagdi6943,Dy lupa waktu kalah pilpres demo berhari2 ngrusak tasilitas umum...sampe ambulan aja bawa batu.,Kompas
@tonibagdi6943,Kok ga nyambung  jawabnya ya?,Kompas
@jeniirnawati5757,Agak risih gak si klo lawan bicara tangannya seperti nunjuk² gitu,Kompas
@brotosenocokrowiloto8441,Apakah hilirisasi sudah berjalan baik saat masuk brics? apakah UU korupsi sudah tegas saat danantara di launcing?,Kompas
@DhanisEmran,"Ini pertanyaan dan jawaban nya ga nyambung, sebenarnya dia ngerti ga si permasalahan negara ini, ayolah... Yg 58% pilih dia kmrn pasti nyesel",Kompas
@blackjack405,"Presiden ini Omongan nya tidak bisa di percaya.Lain di tanya Lain pula jawabannya.
Mundur sajalah Prabowo Subianto anda bukan berpihak ke Rakyat",Kompas
@BeritalinaDamanik,Prabowo itu banyak omon omon,Kompas
@SLmultimedia401,"Salah mahasewa jam demo bubar masih aja demo dan merusak propeeti pemerintah, kenapa kamu tutupi mahasewa yg meruzak",Kompas
@Arief-Dharmawan,Ucapan dan tindakan tidak se irama pak presiden,Kompas
@wantasticindonesia8128,Bravo Pak Prabowo,Kompas
@fathinaainashafiya9619,Bagaimana dg UU PERAMPASAN ASET PARA KORUPTOR DI INDONESIA INI...? PADA SESI INI BELUM JADI DI JAWAB BAPAK PRESIDEN PRABOWO..,Kompas
@nurcholis2651,Kita digiring untuk menerima pemerintahan militer ... ha ha ha,Kompas
@nurcholis2651,siap siap demo lagi ... gak puas saya,Kompas
@alexchannel3323,Pak Prabowo itu orang baik walaupun tak sempurna. Alangkah bagusnya bila pak Prabowo didampingi oleh penasehat yg BIJAK.,Kompas
@dwik6635,mohon bapak presiden melihat komen di medsos ini yang mewakili suara rakyat indonesia.......................inti dari kemauan rakyat ada disini,Kompas
@ubermensch2678,kok cuma 100k yang nonton.. harusnya seluruh masyarakat nonton biar ga gaduh karena gagal paham.,Kompas
@NextFuckingLevel,"Kok jauh lebih bagus pak jokowi sih wok..

Bagusin lagi la, kitorang maunya ente 2 periode.. makanya jgn bikin malu",Kompas
@ryohamaru2272,pengen liat komentar2 yg sok pintar dibawah ini sudah berjasa apa saja kepada negara? dan apakah sudah rajin bayar pajak dan mengisi SPT tahunan dengan jujur ,Kompas
@DfreNum,Biasa Pak itu buzer imigran,Kompas
@mikey_gaming6348,"ini yang sederhana, itu cukai rokok emang siapa yang nanggung? klo belanja ke ritel dibawahnya ada PPN itu siapa yang nanggung?? tanyakan sama diri sendiri yakin emang yang dilaporkan di SPT tahunan udah sesuai??",Kompas
@KenAbinaya-t4n,"Ya gak pp sih manusiawi, Kepala negara kok ngaku salah (DIPUBLISH KOMPAS) gimana sih..... saya sebagai rakyat sudah percaya ke bapak prabowo.......saya yakin anda bisa pak mengatasi permasalahan di negara ini, kok malah statement presiden prabowo SAYA SALAH...... ini buruk pak buat bangsa dan negara, kalo bapak salah, saya harus percaya kesiapa lagi pak....... MOHON PENJELASANNYA",Kompas
@Rian-t5r,Yang survey itu orang di barak sendiri,Kompas
@qinpra,Bahas tariff trump menit berapa yak,Kompas
@BaharuddinPph,"Sy sdh kurang yakin Prabowo bisa melaksanakan apa yg sdh keluar dr mulutnya, liat aja Kasus Judol,pagar laut,korupsi pertamina, kasus kebijakan elpiji tdk jelas penyesaiannya alias omon omon.
Drpd presiden bicara ke media lbh efektif bicara ke aparat utk dilaksanakan dilapangan, kami rakyat akan melihat apa yg sdh di perbuat pemerintah. 
Bicarapun smp berbuih buih klau exekusi dilapangan tdk ada ? Sama dgn omon omon.",Kompas
@mikey_gaming6348,"lhaa, itu 1400 T katanya udah diselametin, kan lumayan ngurangin beban apbn buat bayar bunga hutang LN",Kompas
@americano3751,Jokowi mana bisa jawab beginian,Kompas
@cahayaelektronikmegahlanggeng,"Rakyat tdk perlu bnyk teori dan pertanyaan pers yg tetap selalu merasa kurang puas, dgn pemerintahan. Rajyat yg akan merasakan dn tdk percaya dgn Pers. Yg di butuhkn rakyat kerja nyata",Kompas
@cahayaelektronikmegahlanggeng,"Rakyat tdk perlu bnyk teori dan pertanyaan pers yg tetap selalu merasa kurang puas, dgn pemerintahan. Rajyat yg akan merasakan dn tdk percaya dgn Pers. Yg di butuhkn rakyat kerja nyata",Kompas
@cahayaelektronikmegahlanggeng,"Rakyat di belakang Bpk, Rakyat tdk di bayar oleh siapapun NKRI HRG MATI, TNI, POLRI garis terdepan, dan Tiang Negara.",Kompas
@Slametsugito21,"Mba uni ngmngnya tulus bngt mempertanyakan isu isunya sampe berlinang air mata, pas denger jawabanya bapak presiden saya menghela nafas sampe panjang, yaa Raaaaabb",Kompas
@mikey_gaming6348,"bayangkan kalau sy yang ditanya sama para pimpinan redaksi pasti udah puyeng, apalagi ditanya sama malaikat maut",Kompas
@ediprajitno2722,Mantab pak Prabowo... sangat sportif dan berani mengakui kesalahan atas kesalahan menteri pembantu nya,Kompas
@yulianasri.,Tempo ga diajak ya? 😅,Kompas
@sabiradanmimi243,"Orang fokusnya sama Masalah didalam negeri aja trus nyalahin presidennya,, padahal emang dunia yg sdg tidak baik2 aja... Sering2 liat berita luar,, ekonomi dunia yg sdg tidak baik jdi jgn cuma nyalahin presiden,,tugas presiden tu banyak juga, salah satunya gimana caranya supaya negara ini ga jatoh dari segala faktor... Gue yg ibu rumah tangga aja paham,,masa sih kalian (yg komen)yg sok intelek ga paham😂😂😂😂😂",Kompas
@nadian.izza31,"Ikut menyimak dan turut mengapresiasi upaya beliau untuk berkomunikasi+klarifikasi langsung kepada publik. Menurut saya hal ini baik untuk dilakukan sebagai bentuk keterbukaan. Walaupun saya tidak memilih beliau, beliau pemimpin legal kita. Saya turut mendoakan, semoga Allah senantiasa membimbing beliau dan seluruh jajaran dalam menjalankan amanah besar ini yg pertanggung jawabannya bukan hanya di dunia tp juga di akhirat. Doa-doa baik dari kita, insya Allah akan kembali juga kepada kita. Walaupun begitu, terhadap kebijakan-kebijakan yang dirasa tidak memihak rakyat, kita tetap perlu bersikap kritis.",Kompas
@abuoemar9569,"Menurut sy,omon²nya tentang sejarah² yg sukses dlu tp praktiknya spt Mr.M...send kiri bkn belok kanan,malah muter balik..",Kompas
@ibutigagunung,"Presiden mgkn sebaiknya tdk terlalu tua usianya atau terlalu muda usianya. Terlalu tua jadi kaya lansia yg omongannya ngelantur dan sikapnya tdk sesuai dg apa yg diucapkan. Klo terlalu muda blm sampe 40 th, secara psikologis dan pengalaman blm ada utk mengurus negara sebesar ini.",Kompas
@udinglory7785,Wawasan pk Prabowo memang luas hebat,Kompas
@KomarunArun-pz7te,"Hapuskan pajak-pajak yang tidak perlu Pak Presiden, agar ekonomi rakyat kembali bergelora",Kompas
@sonnyalexandersiagian,"Mreka bingung, smua bingung, bahkan dia sendiri bingung.",Kompas
@mikey_gaming6348,"""...Power tends to corrupt and absolute power corrupts absolutely. Great men are almost always bad men, even when they exercise influence and not authority; still more when you superadd the tendency of the certainty of corruption by authority.”

yang artinya menurut saya:
""..sulit untuk mengakomodir semua pihak, karena hambatan selalu saja akan muncul,.. 20% rencana semula IKN dari apbn, anggaran pun judtru ditambah bukan karena nafsu, dengan harapan apbn akan baik2 saja..""

abaikan saja klo komentarnya salah, maklum ini hanya info warisan",Kompas
@pesisir140,"Kenapa tdak ditanya IKN uda banyak menghabiskan anggaran,",Kompas
@pesisir140,Aku kangen dgn karni ilyas,Kompas
@Nadya.srcpar16sardi,Poinya masyarakat kenapa demo.. kenapa rakyat marah? Itu Lo pk,Kompas
@lukasalbertho2154,apa yg dipaparkan oleh bpk PRESIDEN  PRABOWO.betul & masuk akal.tinggal pelaksanaan bersama Rakyat bersatu.🤝🤝💪💪💪👍👍👍🙏🙏🙏,Kompas
@Bastos8888,Mau menghindari kritik dgn alibi aseng aseng,Kompas
@kimmyungdae7018,"Bisa2 nya komentar soal buzjer depan seorang Presiden, Wartawan itu gak punya attitude ya? komunikasinya buruq sekali.",Kompas
@farizakbar967,"coba jokowi dialog kayak gini, paling cuma 30 menit kelar",Kompas
@davidandreas9725,"Tidak pantas jadi presiden minim sdm
Hutang di besar2kan ugal2an demi pencitraan ikn infrastruktur obral bansos dll 
Sekarang yg menderita rakyat nya masih mau ngeles",Kompas
@shellonmania1,"saya yakin jiwa raga bapak murni buat negri ini..... 
tp para pembantu yg  kurang cerdas mencerna perintah bapak jalan sendiri2
srkedar saran buat pak prabowo ... 
tolong kalo pembantu bapa laporan  hal yg manis2 ke bapak jgn lgsung percaya ... cek sedetail semampu nya bapak takutnya bapak cuma diboongin dikasih laporan palsu
semoga bapak sehat selalu dilindungi dan di kuatkan allah dri musuh2 bangsa ini  aaaaammmmiiin❤",Kompas
@fahmirizal1053,dasarnya bukan pangan... hukum yg kuat!,Kompas
@davidandreas9725,"Hutang di besar2kan ugal2an demi pencitraan ikn infrastruktur obral bansos dll 
Sekarang yg menderita rakyat nya masih mau ngeles",Kompas
@iinkOyung,"Gak nyambung bngt, di tanya nya kemana di jawab kema mana. Gak jelas bngt",Kompas
@Amar-u5n,"Jujur di hati yg paling dalam pak persiden, saya masi kurang paham apa yg bpak sampaikan tentang menangani kasus korup pak, saya berharap banyak sama bpk tentang tikus kantor yg blm bisa kasi efek jerah , kalo gini trus korup akan marajarelah pak 😢😢😢",Kompas
@nianiaanjani,kompas kenceng banget masuk kedalam.....atu jalur pulak,Kompas
@masakiniphoto,"Pak prabowo sampe minta maaf.
Sdgkn yg ngmong smpe detik ini blm klarifikasi dan blm minta maaf. Klo gw malu sih,",Kompas
@NizarJalenmaron-mz7yo,"Jangan banyak bersandiwara pak, inget umur",Kompas
@ndian3029,"Bubarkan ormas, hukum mati koruptor Pak",Kompas
@wahyukurnia5207,Salut sama Najwa singkat padat  dan sampai ke alamat,Kompas
@TembakoToku,👍,Kompas
@hariantorudy1,"Kementrian imigrasi nya Di kasih tau dong Pak, pahlawan devisa bangsa yg jd tanaga kerja Di luar passports kalo habis hanya Di ganti SPLP doang, nyusahin itu Pak. Bapak pernah tidak punya passport atau passport expired khan ?
Peran pemerintah  tuk permudah, jgn nyusahin .tki ini dapat membantu program pemerintah penurunan kemiskinan bangsa. Aturan kementrian imigrasi nya coba di check ulang.",Kompas
@markoni01markoni,"Kami rakyat sedikit pun tak merasakan ada suatu yg menghawatirkan sama TNI, walaupun jargonnya, bukan mengayomi, tapi TNI dekat dengan rakyat",Kompas
@lloll69,Cuma negara ini yang menganggap semua hal enteng. 😅,Kompas
@prastarkodhimasherlangga-rj7dj,bapaknya kasih pekerjaan biar anaknya makan apa aja bebas,Kompas
@dennypasir7319,"Pak prabowo itu bagus dan sosok yang pas untuk menjadi seorang presiden tapi maaf, kalo menurut saya sayangnya bliau bisa jadi harus digendong oleh si anu, jadi prabowo merasa berhutang budi. Padahal kebijakan prabowo kalo digali lebih dalam lagi itu banyak bertentangan dengan pendahulunya.",Kompas
@suryadarmas3184,Tempo gak ada?,Kompas
@davechislon4148,"memang menjadi pemimpin negara sangat tidak mudah karena seorang manusia harus memikirkan semua permasalahan yang kompleks..saya kira akan sangat membantu jika ada orang orang yang berintegritas dan kompeten di bidangnya..karena informasi dalam hal ini sangat berharga, bagi petinggi itu sebagai informasi tetapi bagi rakyat bisa jadi itu adalah hidup atau mati",Kompas
@beluwuga,"Why is this only a hour bruh, this should be way more than an hour.",Kompas
@MKhoir-k5p,Lahh dicianjur gaada tuh MBG wkwkw,Kompas
@deruslee1955,Salah mungkin pilih pemimpin yg lansia,Kompas
@Sigma2-r5e,Njir omongan nya sama kaya buzzer di bilang demo di bayar 😅,Kompas
@faththewriter22,Rocky gerung ketar-ketir 😂,Kompas
@volktheplate,"sekecewa ini sama pemerintah, 1 jam kosong ompong gaada isinya ini video",Kompas
@Herman3001,"😊
Ll",Kompas
@Kipas_angin_maspiun,"Gak usah ribet² pak Jasa Pelayanan kita di puskesmas aja nunggak, gak usah yg ribet² lah, keadilan sosial dulu",Kompas
@paramartayogi7696,"😂😂😂,",Kompas
@razzaqberhan4230,"Hadeh males bet liat orang2 komentar tp dibales buzzer komentar, ngga berbobot ama sekali",Kompas
@HibwaOnly,Pak Prabowo ikhlas.demi rakyat dari narasimya,Kompas
@xiaoweichen1164,"Indonesia terlalu luas bapak😢banyak tangan2 kotor yang tidak bertanggung jawab atas perintah yang anda berikan😢😢😢tolong koruptor2 kasih hukuman dor di depan masyarakat umum😂😂😅😅😅segera sahkan UUD nya,yang setuju sini yukk",Kompas
@achsabit,"Kenapa tempo tidak terlibat dalam wawancara ini,,,,,,?",Kompas
@siapasaja1670,Demokrasi di negara ini kualitas nya BOBROK.. LEBIH BANYAK SISI KUANTITAS daripada kualitas,Kompas
@and-tw3gf,najwa canteeeek amat,Kompas
@siapasaja1670,Buka diplomasi dengan Israel pak,Kompas
@ryanarief1983,terkesan lebih ke curhat daripada menjawab pertanyaan,Kompas
@yadi7439,Gimana ya sepertinya gimanalah tapi gimana lagi,Kompas
@arlitayulianti2213,"Mungkin tujuan pak prabowo baik, taaaa...piii...sampai sekarang yg dibawah tidak sesuai menjalankan perintah bpk prabowo...dan rakyat dibuat kecewa dan kecewa terus.orang yg harusnya punya hak dibantu tapi dibelokkan ke org yg sudah mampu, coba ulah siapa ini ? 
Ya ulah pejabat²desa, rt, rw dsbnya mereka menjalankan tugas tidak adil.",Kompas
@AndreFlowState,"wanjir dimenit trakhir mantep sih ada ASRAMA UNTUK ANAK ORANG MISKIN DI 200 SELURUH Kabupaten di Indoensia,, ini TEPAT ASLI SASARAN SEORANG PRESIDEN (HUMAN DESIGN PROJECTOR) sleain nanti ga inferior ketakutan ga bisa keluar dari kemiskinan dan mengangkat Derajat orang tua nya masing2.. untuk ANAK yg paling miskin, MEREKA DILATIH, btw gua pernah diasrama tau rasanya SOSIAL, MINDSET SPIRITUAL, FISIK DAN MENTAL DILATIH jd udh banyak YG SUKSES JUGA LETINGAN, ANGKATAN OR ALMUNI GUA juga di salah satu ASRAMA AGAMA ADVENT di Siantar.. ya mantap deh sedih juga denger crita lauknya di bungkus untuk orang rumah krna adik or ibunya belom makan jg dengan ASRAMA ini anak akan 3X SEHARI GIZI TERCUKUPI PELATIHAN SIMULASI untuk keTAHANAN MENGANGKAT SDM INDONESIA TERKHUSUS ( ANAK MISKIN DI ASRAMA) by LANGKAH PEMERINTAHAN Prabowo Subianto sih Such A Genius..

COME ON MEN,, YG bilang gelap gelap Indonesia sedikit jeli Obejktif tuh Prabowo SNdiri bilang ayo bersama"" AGAR INDONESIA GA GELAP..

DEMO OK TP KALA UDITUNGGAGI HAL LAIN UNTUK KEAMANAN NEGARA JANGN RUSAK FASILITAS ITU MANTAP,. SOAL RUU TNI, KTNYA AGAR PANGILMA TERTINGGI GA LANGSUNG DIGANTI KASIHAN TIAP TAHUN PEMIMPIN TNI PENSIUN DINI.. ITU AJA KATANYA.. CUMA KOREKSI KALAU GUA SALAH SOAL

#RUUTNI #STUNTING #ASRAMAANAKMISKIN #Prabowo #PrabowoSubianto ..

STUJU SAMA PROJECTOR YANG SATU INI SEPERTI SAYA",Kompas
@bsbedink895,waduhhh sayang sekali mas wapresnya ga dibawa...,Kompas
@datulapulga18,"Presiden negara sebesar Indonesia, loh.. astaga..",Kompas
@kesalaia1200,"Prabowo ini masih lagu lama 
Banyak omon omon yg mutar2 masih pakai emosi., dah biasa dia dan kroni2 nya Demo dulu mereka danain., pada hal demo2 baru ini cara kerja kabinetnya gk jelas asal ngomong besar gk bisa kerja.",Kompas
@arutami99,😂😂😂 indonesia cemassss,Kompas
@bayuardiansyah4915,Omongan ngalor ngidul mirip mirip ama biden😂,Kompas
@Car-kr5ok,KASIH MAKAN ANAK YANG LAPAR TIDAK SALAH. YANG SALAH ADALAH MENGASIH MAKAN SEMUA ANAK.,Kompas
@heksat1213,Kecelakaan mudik 30% tetapi yang mudik juga merosot secara masif 😂 tp saya akui cara berpikr beliau diluar itu sgt berfihak ke masyarakat secara mendasar,Kompas
@Car-kr5ok,"MASIH SAMA SEPERTI SAAT DEBAT, YANG DISAMPAIKAN HANYALAH KEINGINAN DAN CITA-CITA YANG SANGAT MULIA. NAMUN TIDAK DIJELASKAN CARANYA BAGAIMANA DAN TIDAK MENJAWAB PERTANYAAN SESUAI INTI PERTANYAAN.",Kompas
@deatermind,Banya yg dia ucap tidak sesuai dengan yg dilakukan bawahannya.. 😢,Kompas
@mahfudsugiarto9297,Luar biasa pernyataan Presiden itu benar banyak orang2 cuma bisa bicara tapi tidak melakukan apa2 pada rakyat,Kompas
@mercy_betu1656,"Mbg stop saja pak,  biar negara nggak nambah bahaya!yg katanya gratis apanya…?bukannya itu duit dari pajak ortunya? jadi gak usa disebut gratis, males dengar kata GRATIS!",Kompas
@MultiChannel97,Saya cukup puas dengan pemaparan pak Preaiden,Kompas
@Dady272,"Dri kesimpulan yg d utarakan oleh bapak presiden.
Hnya rakyat yg punya hati yg paham dgn apa yg beliau utarakan...
Yg lain mah hnya segerombolan org "" sakit hati...😂",Kompas
@linawinny8394,"liat 3 hari lagi aja pak, sekarang dollar udah 16900",Kompas
@basindoSindo,INDONESIA  KALAU  BERDIRI DI KAKI SENDIRI  INDONESAIA HARUS  PUNYA  DIGITAL   / TEKNOLOGI SENDIRI .. KALAU TIDAK INDONESIA  TIDAK BISA  BERDIRI  DI KAKI SENDIRI ..CONTOH   RRC    WAJAR  BISA  BERDIRI DI KAKI SENDIRI MEREKA  ILMU TEKNOLOGI  DI KUASAI  MAJU   DLLN .,Kompas
@aryaadithya8485,😢😢😢😢😢😢😢😢😢😢,Kompas
@TrionoNurcahyonooktapianto,"Kelihatan arogannya,",Kompas
@dedydwipala1892,😓,Kompas
@MKhoir-k5p,🥱🥱,Kompas
@DwiAstuti-g6w,"Jgn lupa jasa jokowi,ninggalin warisan hutang trilyunan",Kompas
@basindoSindo,DEMO  ASPIRASI TIDAK PERNAH SAMPAI  KE  PRESIDEN .!..,Kompas
@basindoSindo,DEMO  ASPIRASI TIDAK PERNAH SAMPAI  KE  PRESIDEN .!..,Kompas
@ayudone,Presiden aja ky gini gimana wakilnya ya... 😅,Kompas
@knifabricsupply7613,"banyak ngak nyambungnya, jawaban retorika atas pertanyaan jurnalis. mending bobo aja, pegel.",Kompas
@Om_Permata,Ini acara off air kah,Kompas
@AliyaTardini,Kurang jurnalis dari media Tempo aja sih,Kompas
@gw_luis5079,buat yang insomnia mending lu donlot nih video ..,Kompas
@bosren452,Udah yappingnya?,Kompas
